id,category,query,answer,expected_answer,sources,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,"[{'section': 'Phần 2: SLA theo mức độ ưu tiên', 'department': 'IT', 'source': 'support/sla-p1-2026.pdf', 'access': 'internal', 'effective_date': '2026-01-15'}, {'effective_date': '2026-01-15', 'access': 'internal', 'section': 'Phần 3: Quy trình xử lý sự cố P1', 'source': 'support/sla-p1-2026.pdf', 'department': 'IT'}, {'access': 'internal', 'effective_date': '2026-02-01', 'section': 'Điều 4: Quy trình xử lý yêu cầu hoàn tiền', 'source': 'policy/refund-v4.pdf', 'department': 'CS'}]",5,Thông tin trong câu trả lời hoàn toàn xuất phát từ tài liệu retrieved.,5,"Câu trả lời đã đưa ra thời gian cụ thể cho SLA xử lý ticket P1, trả lời trực tiếp và đầy đủ cho câu hỏi.",5,Recall=100% (1/1),4,Câu trả lời đã đúng về thời gian xử lý ticket P1 là 4 giờ nhưng thiếu thông tin về SLA phản hồi ban đầu là 15 phút.,variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1][3].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,"[{'source': 'policy/refund-v4.pdf', 'access': 'internal', 'section': 'Điều 2: Điều kiện được hoàn tiền', 'department': 'CS', 'effective_date': '2026-02-01'}, {'access': 'internal', 'department': 'CS', 'effective_date': '2026-02-01', 'section': 'Điều 4: Quy trình xử lý yêu cầu hoàn tiền', 'source': 'policy/refund-v4.pdf'}, {'department': 'CS', 'source': 'policy/refund-v4.pdf', 'access': 'internal', 'section': 'Điều 3: Điều kiện áp dụng và ngoại lệ', 'effective_date': '2026-02-01'}]",5,Tất cả thông tin trong câu trả lời đều xuất phát từ tài liệu đã được truy xuất.,5,Câu trả lời đã trực tiếp và đầy đủ giải quyết trọng tâm của câu hỏi.,5,Recall=100% (1/1),5,"Câu trả lời đã bao gồm đầy đủ thông tin quan trọng, không thiếu sót chi tiết nào so với câu trả lời mong đợi.",variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phải được phê duyệt bởi Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.","[{'department': 'IT Security', 'section': 'Section 3: Quy trình yêu cầu cấp quyền', 'access': 'internal', 'effective_date': '2026-01-01', 'source': 'it/access-control-sop.md'}, {'access': 'internal', 'department': 'IT Security', 'section': 'Section 2: Phân cấp quyền truy cập', 'effective_date': '2026-01-01', 'source': 'it/access-control-sop.md'}, {'access': 'internal', 'section': 'Section 4: Escalation khi cần thay đổi quyền hệ thống', 'source': 'it/access-control-sop.md', 'effective_date': '2026-01-01', 'department': 'IT Security'}]",5,Tất cả thông tin trong câu trả lời đều xuất phát từ tài liệu retrieved.,5,"Câu trả lời đã nêu rõ những người cần phê duyệt để cấp quyền Level 3, trả lời trực tiếp và đầy đủ cho câu hỏi.",5,Recall=100% (1/1),5,Câu trả lời đã bao gồm đầy đủ tất cả các thông tin quan trọng.,variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không, sản phẩm thuộc danh mục hàng kỹ thuật số như license key, subscription không được hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.","[{'department': 'CS', 'access': 'internal', 'effective_date': '2026-02-01', 'section': 'Điều 3: Điều kiện áp dụng và ngoại lệ', 'source': 'policy/refund-v4.pdf'}, {'department': 'CS', 'section': 'Điều 2: Điều kiện được hoàn tiền', 'access': 'internal', 'effective_date': '2026-02-01', 'source': 'policy/refund-v4.pdf'}, {'department': 'CS', 'section': 'Điều 5: Hình thức hoàn tiền', 'source': 'policy/refund-v4.pdf', 'effective_date': '2026-02-01', 'access': 'internal'}]",5,Tất cả thông tin trong câu trả lời đều xuất phát từ tài liệu đã được truy xuất.,5,Câu trả lời đã trực tiếp và đầy đủ giải quyết trọng tâm của câu hỏi.,5,Recall=100% (1/1),5,"Câu trả lời đã bao gồm đầy đủ thông tin quan trọng, không bỏ sót chi tiết nào so với câu trả lời mong đợi.",variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản sẽ bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,"[{'access': 'internal', 'department': 'IT', 'section': 'Section 1: Tài khoản và mật khẩu', 'source': 'support/helpdesk-faq.md', 'effective_date': '2026-01-20'}, {'source': 'policy/refund-v4.pdf', 'section': 'Điều 3: Điều kiện áp dụng và ngoại lệ', 'department': 'CS', 'effective_date': '2026-02-01', 'access': 'internal'}, {'department': 'CS', 'source': 'policy/refund-v4.pdf', 'effective_date': '2026-02-01', 'section': 'Điều 2: Điều kiện được hoàn tiền', 'access': 'internal'}]",5,Tất cả thông tin trong câu trả lời đều xuất phát từ tài liệu đã được truy xuất.,5,Câu trả lời đã trực tiếp và đầy đủ giải quyết trọng tâm của câu hỏi.,5,Recall=100% (1/1),5,"Câu trả lời đã bao gồm đầy đủ thông tin cần thiết, không thiếu sót chi tiết nào so với câu trả lời mong đợi.",variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra theo hai quy trình. Đầu tiên, nếu cần thay đổi quyền hệ thống để khắc phục sự cố, On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1]. Thứ hai, nếu không có phản hồi trong vòng 10 phút, sự cố sẽ tự động được escalate lên Senior Engineer [2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,"[{'department': 'IT Security', 'effective_date': '2026-01-01', 'source': 'it/access-control-sop.md', 'access': 'internal', 'section': 'Section 4: Escalation khi cần thay đổi quyền hệ thống'}, {'section': 'Phần 2: SLA theo mức độ ưu tiên', 'access': 'internal', 'effective_date': '2026-01-15', 'source': 'support/sla-p1-2026.pdf', 'department': 'IT'}, {'section': 'Phần 5: Lịch sử phiên bản', 'department': 'IT', 'effective_date': '2026-01-15', 'access': 'internal', 'source': 'support/sla-p1-2026.pdf'}]",5,"Mọi thông tin trong câu trả lời đều xuất phát từ tài liệu retrieved. Câu trả lời đã mô tả chính xác quy trình escalation trong sự cố P1, bao gồm việc cấp quyền tạm thời và việc tự động escalate lên Senior Engineer nếu không có phản hồi trong vòng 10 phút.",5,"Câu trả lời đã mô tả chi tiết quy trình escalation trong sự cố P1, bao gồm cả việc thay đổi quyền hệ thống và việc escalate lên Senior Engineer nếu không có phản hồi.",5,Recall=100% (1/1),4,"Câu trả lời đã bao gồm thông tin về việc escalate lên Senior Engineer nếu không có phản hồi trong 10 phút, tuy nhiên lại thêm vào thông tin không liên quan về việc cấp quyền tạm thời cho On-call IT Admin, điều này không được đề cập trong expected answer.",variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Không đủ dữ liệu trong tài liệu hiện có để trả lời câu hỏi này.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,"[{'effective_date': '2026-01-01', 'access': 'internal', 'department': 'IT Security', 'section': 'Section 1: Phạm vi và mục đích', 'source': 'it/access-control-sop.md'}, {'effective_date': '2026-01-01', 'access': 'internal', 'department': 'IT Security', 'source': 'it/access-control-sop.md', 'section': 'Section 4: Escalation khi cần thay đổi quyền hệ thống'}, {'effective_date': '2026-01-01', 'source': 'it/access-control-sop.md', 'department': 'IT Security', 'access': 'internal', 'section': 'Section 3: Quy trình yêu cầu cấp quyền'}]",5,Câu trả lời không đưa ra bất kỳ thông tin nào không có trong context.,1,Câu trả lời không cung cấp thông tin về Approval Matrix để cấp quyền hệ thống là tài liệu nào.,5,Recall=100% (1/1),1,Câu trả lời không cung cấp bất kỳ thông tin nào về 'Approval Matrix for System Access' hoặc 'Access Control SOP',variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau thời gian thử việc có thể làm việc từ xa tối đa 2 ngày mỗi tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.","[{'effective_date': '2026-01-01', 'department': 'HR', 'source': 'hr/leave-policy-2026.pdf', 'access': 'internal', 'section': 'Phần 4: Remote work policy'}, {'section': 'Phần 2: Quy trình xin nghỉ phép', 'department': 'HR', 'effective_date': '2026-01-01', 'access': 'internal', 'source': 'hr/leave-policy-2026.pdf'}, {'section': 'Section 2: Phân cấp quyền truy cập', 'source': 'it/access-control-sop.md', 'access': 'internal', 'effective_date': '2026-01-01', 'department': 'IT Security'}]",5,Tất cả thông tin trong câu trả lời đều xuất phát từ tài liệu đã được truy xuất. Nhân viên sau thời gian thử việc có thể làm việc từ xa tối đa 2 ngày mỗi tuần được nêu rõ trong context.,5,Câu trả lời đã trực tiếp và đầy đủ giải quyết trọng tâm của câu hỏi.,5,Recall=100% (1/1),4,Câu trả lời đã đúng nhưng thiếu thông tin về việc cần được Team Lead phê duyệt.,variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu trong tài liệu hiện có để trả lời câu hỏi này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.","[{'source': 'support/sla-p1-2026.pdf', 'effective_date': '2026-01-15', 'section': 'Phần 5: Lịch sử phiên bản', 'access': 'internal', 'department': 'IT'}, {'section': 'Section 2: Phân cấp quyền truy cập', 'department': 'IT Security', 'effective_date': '2026-01-01', 'source': 'it/access-control-sop.md', 'access': 'internal'}, {'section': 'Điều 2: Điều kiện được hoàn tiền', 'source': 'policy/refund-v4.pdf', 'effective_date': '2026-02-01', 'access': 'internal', 'department': 'CS'}]",5,"Câu trả lời không cung cấp thông tin nào cả, do đó không có thông tin nào không xuất phát từ context.",1,Câu trả lời không cung cấp thông tin về lỗi ERR-403-AUTH và cách xử lý nó.,,No expected sources (abstain question),3,"Câu trả lời đã nêu rõ không có thông tin trong tài liệu, nhưng thiếu thông tin về việc lỗi có thể liên quan đến xác thực và đề xuất liên hệ IT Helpdesk.",variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu trong tài liệu hiện có để trả lời câu hỏi này.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.","[{'effective_date': '2026-02-01', 'access': 'internal', 'section': 'Điều 2: Điều kiện được hoàn tiền', 'source': 'policy/refund-v4.pdf', 'department': 'CS'}, {'access': 'internal', 'section': 'Section 4: Escalation khi cần thay đổi quyền hệ thống', 'department': 'IT Security', 'effective_date': '2026-01-01', 'source': 'it/access-control-sop.md'}, {'source': 'policy/refund-v4.pdf', 'section': 'Điều 3: Điều kiện áp dụng và ngoại lệ', 'access': 'internal', 'effective_date': '2026-02-01', 'department': 'CS'}]",5,"Câu trả lời không đưa ra bất kỳ thông tin nào, do đó không có thông tin nào không xuất phát từ tài liệu retrieved.",1,Câu trả lời không cung cấp thông tin về quy trình hoàn tiền khẩn cấp cho khách hàng VIP.,5,Recall=100% (1/1),2,"Câu trả lời đã bỏ sót thông tin về quy trình hoàn tiền tiêu chuẩn và thời gian xử lý, cũng như việc không có quy trình đặc biệt cho khách hàng VIP.",variant_hybrid_rerank
